34.69118,-1.966135|34.70118,-1.956135
35.14435699999999,-2.9299459999999993|35.15135699999999,-2.922945999999999
35.14435699999999,-2.922945999999999|35.15135699999999,-2.915945999999999
35.14435699999999,-2.915945999999999|35.15135699999999,-2.908945999999999
35.14435699999999,-2.908945999999999|35.15135699999999,-2.901945999999999
35.15135699999999,-2.971946|35.15835699999999,-2.964946
35.15135699999999,-2.964946|35.15835699999999,-2.9579459999999997
35.15135699999999,-2.9579459999999997|35.15835699999999,-2.9509459999999996
35.15135699999999,-2.9509459999999996|35.15835699999999,-2.9439459999999995
35.15135699999999,-2.9439459999999995|35.15835699999999,-2.9369459999999994
35.15135699999999,-2.9369459999999994|35.15835699999999,-2.9299459999999993
35.15135699999999,-2.9299459999999993|35.15835699999999,-2.922945999999999
35.15135699999999,-2.922945999999999|35.15835699999999,-2.915945999999999
35.15135699999999,-2.915945999999999|35.15835699999999,-2.908945999999999
35.15135699999999,-2.908945999999999|35.15835699999999,-2.901945999999999
35.15835699999999,-2.971946|35.165356999999986,-2.964946
35.15835699999999,-2.964946|35.165356999999986,-2.9579459999999997
35.15835699999999,-2.9579459999999997|35.165356999999986,-2.9509459999999996
35.15835699999999,-2.9509459999999996|35.165356999999986,-2.9439459999999995
35.15835699999999,-2.9439459999999995|35.165356999999986,-2.9369459999999994
35.15835699999999,-2.9369459999999994|35.165356999999986,-2.9299459999999993
35.15835699999999,-2.9299459999999993|35.165356999999986,-2.922945999999999
35.15835699999999,-2.922945999999999|35.165356999999986,-2.915945999999999
35.15835699999999,-2.915945999999999|35.165356999999986,-2.908945999999999
35.15835699999999,-2.908945999999999|35.165356999999986,-2.901945999999999
35.165356999999986,-2.971946|35.172356999999984,-2.964946
35.165356999999986,-2.964946|35.172356999999984,-2.9579459999999997
35.165356999999986,-2.9579459999999997|35.172356999999984,-2.9509459999999996
35.165356999999986,-2.9509459999999996|35.172356999999984,-2.9439459999999995
35.165356999999986,-2.9439459999999995|35.172356999999984,-2.9369459999999994
35.165356999999986,-2.9369459999999994|35.172356999999984,-2.9299459999999993
35.165356999999986,-2.9299459999999993|35.172356999999984,-2.922945999999999
35.165356999999986,-2.922945999999999|35.172356999999984,-2.915945999999999
35.165356999999986,-2.915945999999999|35.172356999999984,-2.908945999999999
35.172356999999984,-2.971946|35.17935699999998,-2.964946
35.172356999999984,-2.964946|35.17935699999998,-2.9579459999999997
35.172356999999984,-2.9579459999999997|35.17935699999998,-2.9509459999999996
35.172356999999984,-2.9509459999999996|35.17935699999998,-2.9439459999999995
35.172356999999984,-2.9439459999999995|35.17935699999998,-2.9369459999999994
35.172356999999984,-2.9369459999999994|35.17935699999998,-2.9299459999999993
35.172356999999984,-2.9299459999999993|35.17935699999998,-2.922945999999999
