34.69118,-1.966135|34.70118,-1.956135
34.02076100000001,-6.789464000000005|34.03576100000001,-6.774464000000005
34.02076100000001,-6.774464000000005|34.03576100000001,-6.759464000000006
34.02076100000001,-6.759464000000006|34.03576100000001,-6.744464000000006
34.02076100000001,-6.744464000000006|34.03576100000001,-6.729464000000006
34.03576100000001,-6.849464000000004|34.05076100000001,-6.834464000000004
34.03576100000001,-6.834464000000004|34.05076100000001,-6.819464000000004
34.03576100000001,-6.819464000000004|34.05076100000001,-6.804464000000005
34.03576100000001,-6.804464000000005|34.05076100000001,-6.789464000000005
34.03576100000001,-6.789464000000005|34.05076100000001,-6.774464000000005
34.03576100000001,-6.774464000000005|34.05076100000001,-6.759464000000006
34.03576100000001,-6.759464000000006|34.05076100000001,-6.744464000000006
34.03576100000001,-6.744464000000006|34.05076100000001,-6.729464000000006
34.05076100000001,-6.834464000000004|34.06576100000001,-6.819464000000004
34.05076100000001,-6.819464000000004|34.06576100000001,-6.804464000000005
34.05076100000001,-6.804464000000005|34.06576100000001,-6.789464000000005
34.05076100000001,-6.789464000000005|34.06576100000001,-6.774464000000005
34.05076100000001,-6.774464000000005|34.06576100000001,-6.759464000000006
34.05076100000001,-6.759464000000006|34.06576100000001,-6.744464000000006
34.05076100000001,-6.744464000000006|34.06576100000001,-6.729464000000006
34.06576100000001,-6.819464000000004|34.08076100000001,-6.804464000000005
34.06576100000001,-6.804464000000005|34.08076100000001,-6.789464000000005
34.06576100000001,-6.789464000000005|34.08076100000001,-6.774464000000005
34.06576100000001,-6.774464000000005|34.08076100000001,-6.759464000000006
34.06576100000001,-6.759464000000006|34.08076100000001,-6.744464000000006
34.06576100000001,-6.744464000000006|34.08076100000001,-6.729464000000006
34.08076100000001,-6.804464000000005|34.09576100000001,-6.789464000000005
34.08076100000001,-6.789464000000005|34.09576100000001,-6.774464000000005
34.08076100000001,-6.774464000000005|34.09576100000001,-6.759464000000006
30.978378,-3.9920740000000015|30.988378,-3.9820740000000017
30.988378,-4.002074000000001|30.998378000000002,-3.9920740000000015
30.988378,-3.9920740000000015|30.998378000000002,-3.9820740000000017
30.988378,-3.9820740000000017|30.998378000000002,-3.972074000000002
30.998378000000002,-4.012074000000001|31.008378000000004,-4.002074000000001
30.998378000000002,-4.002074000000001|31.008378000000004,-3.9920740000000015
30.998378000000002,-3.9920740000000015|31.008378000000004,-3.9820740000000017
30.998378000000002,-3.9820740000000017|31.008378000000004,-3.972074000000002
31.008378000000004,-4.012074000000001|31.018378000000006,-4.002074000000001
31.008378000000004,-4.002074000000001|31.018378000000006,-3.9920740000000015
31.008378000000004,-3.9920740000000015|31.018378000000006,-3.9820740000000017
31.008378000000004,-3.9820740000000017|31.018378000000006,-3.972074000000002
31.008378000000004,-3.972074000000002|31.018378000000006,-3.962074000000002
31.018378000000006,-4.022074000000001|31.028378000000007,-4.012074000000001
31.018378000000006,-4.012074000000001|31.028378000000007,-4.002074000000001
31.018378000000006,-4.002074000000001|31.028378000000007,-3.9920740000000015
31.018378000000006,-3.9920740000000015|31.028378000000007,-3.9820740000000017
31.018378000000006,-3.9820740000000017|31.028378000000007,-3.972074000000002
31.018378000000006,-3.972074000000002|31.028378000000007,-3.962074000000002
31.028378000000007,-4.022074000000001|31.03837800000001,-4.012074000000001
31.028378000000007,-4.012074000000001|31.03837800000001,-4.002074000000001
31.028378000000007,-4.002074000000001|31.03837800000001,-3.9920740000000015
31.028378000000007,-3.9920740000000015|31.03837800000001,-3.9820740000000017
31.028378000000007,-3.9820740000000017|31.03837800000001,-3.972074000000002
31.028378000000007,-3.972074000000002|31.03837800000001,-3.962074000000002
31.03837800000001,-4.022074000000001|31.04837800000001,-4.012074000000001
31.03837800000001,-4.012074000000001|31.04837800000001,-4.002074000000001
31.03837800000001,-4.002074000000001|31.04837800000001,-3.9920740000000015
31.03837800000001,-3.9920740000000015|31.04837800000001,-3.9820740000000017
31.03837800000001,-3.9820740000000017|31.04837800000001,-3.972074000000002
31.03837800000001,-3.972074000000002|31.04837800000001,-3.962074000000002
31.04837800000001,-4.032074000000001|31.058378000000012,-4.022074000000001
31.04837800000001,-4.022074000000001|31.058378000000012,-4.012074000000001
31.04837800000001,-4.012074000000001|31.058378000000012,-4.002074000000001
31.04837800000001,-4.002074000000001|31.058378000000012,-3.9920740000000015
31.04837800000001,-3.9920740000000015|31.058378000000012,-3.9820740000000017
31.04837800000001,-3.9820740000000017|31.058378000000012,-3.972074000000002
31.04837800000001,-3.972074000000002|31.058378000000012,-3.962074000000002
31.058378000000012,-4.032074000000001|31.068378000000013,-4.022074000000001
31.058378000000012,-4.022074000000001|31.068378000000013,-4.012074000000001
31.058378000000012,-4.012074000000001|31.068378000000013,-4.002074000000001
31.058378000000012,-4.002074000000001|31.068378000000013,-3.9920740000000015
31.058378000000012,-3.9920740000000015|31.068378000000013,-3.9820740000000017
31.058378000000012,-3.9820740000000017|31.068378000000013,-3.972074000000002
31.058378000000012,-3.972074000000002|31.068378000000013,-3.962074000000002
31.068378000000013,-4.032074000000001|31.078378000000015,-4.022074000000001
31.068378000000013,-4.022074000000001|31.078378000000015,-4.012074000000001
31.068378000000013,-4.012074000000001|31.078378000000015,-4.002074000000001
31.068378000000013,-4.002074000000001|31.078378000000015,-3.9920740000000015
31.068378000000013,-3.9920740000000015|31.078378000000015,-3.9820740000000017
31.068378000000013,-3.9820740000000017|31.078378000000015,-3.972074000000002
31.068378000000013,-3.972074000000002|31.078378000000015,-3.962074000000002
31.078378000000015,-4.032074000000001|31.088378000000016,-4.022074000000001
31.078378000000015,-4.022074000000001|31.088378000000016,-4.012074000000001
31.078378000000015,-4.012074000000001|31.088378000000016,-4.002074000000001
31.078378000000015,-4.002074000000001|31.088378000000016,-3.9920740000000015
31.078378000000015,-3.9920740000000015|31.088378000000016,-3.9820740000000017
31.078378000000015,-3.9820740000000017|31.088378000000016,-3.972074000000002
31.078378000000015,-3.972074000000002|31.088378000000016,-3.962074000000002
31.088378000000016,-4.032074000000001|31.098378000000018,-4.022074000000001
31.088378000000016,-4.022074000000001|31.098378000000018,-4.012074000000001
31.088378000000016,-4.012074000000001|31.098378000000018,-4.002074000000001
31.088378000000016,-4.002074000000001|31.098378000000018,-3.9920740000000015
31.088378000000016,-3.9920740000000015|31.098378000000018,-3.9820740000000017
31.088378000000016,-3.9820740000000017|31.098378000000018,-3.972074000000002
31.088378000000016,-3.972074000000002|31.098378000000018,-3.962074000000002
31.088378000000016,-3.962074000000002|31.098378000000018,-3.9520740000000023
31.098378000000018,-4.032074000000001|31.10837800000002,-4.022074000000001
31.098378000000018,-4.022074000000001|31.10837800000002,-4.012074000000001
31.098378000000018,-4.012074000000001|31.10837800000002,-4.002074000000001
31.098378000000018,-4.002074000000001|31.10837800000002,-3.9920740000000015
31.098378000000018,-3.9920740000000015|31.10837800000002,-3.9820740000000017
31.098378000000018,-3.9820740000000017|31.10837800000002,-3.972074000000002
31.098378000000018,-3.972074000000002|31.10837800000002,-3.962074000000002
31.098378000000018,-3.962074000000002|31.10837800000002,-3.9520740000000023
31.10837800000002,-4.022074000000001|31.11837800000002,-4.012074000000001
31.10837800000002,-4.012074000000001|31.11837800000002,-4.002074000000001
31.10837800000002,-4.002074000000001|31.11837800000002,-3.9920740000000015
31.10837800000002,-3.9920740000000015|31.11837800000002,-3.9820740000000017
31.10837800000002,-3.9820740000000017|31.11837800000002,-3.972074000000002
31.10837800000002,-3.972074000000002|31.11837800000002,-3.962074000000002
31.10837800000002,-3.962074000000002|31.11837800000002,-3.9520740000000023
31.10837800000002,-3.9520740000000023|31.11837800000002,-3.9420740000000025
31.11837800000002,-4.022074000000001|31.128378000000023,-4.012074000000001
31.11837800000002,-4.012074000000001|31.128378000000023,-4.002074000000001
31.11837800000002,-4.002074000000001|31.128378000000023,-3.9920740000000015
31.11837800000002,-3.9920740000000015|31.128378000000023,-3.9820740000000017
31.11837800000002,-3.9820740000000017|31.128378000000023,-3.972074000000002
31.11837800000002,-3.972074000000002|31.128378000000023,-3.962074000000002
31.11837800000002,-3.962074000000002|31.128378000000023,-3.9520740000000023
31.11837800000002,-3.9520740000000023|31.128378000000023,-3.9420740000000025
31.128378000000023,-4.032074000000001|31.138378000000024,-4.022074000000001
31.128378000000023,-4.022074000000001|31.138378000000024,-4.012074000000001
31.128378000000023,-4.012074000000001|31.138378000000024,-4.002074000000001
31.128378000000023,-4.002074000000001|31.138378000000024,-3.9920740000000015
31.128378000000023,-3.9920740000000015|31.138378000000024,-3.9820740000000017
31.128378000000023,-3.9820740000000017|31.138378000000024,-3.972074000000002
31.128378000000023,-3.972074000000002|31.138378000000024,-3.962074000000002
31.128378000000023,-3.962074000000002|31.138378000000024,-3.9520740000000023
31.128378000000023,-3.9520740000000023|31.138378000000024,-3.9420740000000025
31.128378000000023,-3.9420740000000025|31.138378000000024,-3.9320740000000027
31.138378000000024,-4.042074|31.148378000000026,-4.032074000000001
31.138378000000024,-4.032074000000001|31.148378000000026,-4.022074000000001
31.138378000000024,-4.022074000000001|31.148378000000026,-4.012074000000001
31.138378000000024,-4.012074000000001|31.148378000000026,-4.002074000000001
31.138378000000024,-4.002074000000001|31.148378000000026,-3.9920740000000015
31.138378000000024,-3.9920740000000015|31.148378000000026,-3.9820740000000017
31.138378000000024,-3.9820740000000017|31.148378000000026,-3.972074000000002
31.138378000000024,-3.972074000000002|31.148378000000026,-3.962074000000002
31.138378000000024,-3.962074000000002|31.148378000000026,-3.9520740000000023
31.138378000000024,-3.9520740000000023|31.148378000000026,-3.9420740000000025
31.138378000000024,-3.9420740000000025|31.148378000000026,-3.9320740000000027
31.148378000000026,-4.042074|31.158378000000027,-4.032074000000001
31.148378000000026,-4.032074000000001|31.158378000000027,-4.022074000000001
31.148378000000026,-4.022074000000001|31.158378000000027,-4.012074000000001
31.148378000000026,-4.012074000000001|31.158378000000027,-4.002074000000001
31.148378000000026,-4.002074000000001|31.158378000000027,-3.9920740000000015
31.148378000000026,-3.9920740000000015|31.158378000000027,-3.9820740000000017
31.148378000000026,-3.9820740000000017|31.158378000000027,-3.972074000000002
31.148378000000026,-3.972074000000002|31.158378000000027,-3.962074000000002
31.148378000000026,-3.962074000000002|31.158378000000027,-3.9520740000000023
31.148378000000026,-3.9520740000000023|31.158378000000027,-3.9420740000000025
31.148378000000026,-3.9420740000000025|31.158378000000027,-3.9320740000000027
31.158378000000027,-4.042074|31.16837800000003,-4.032074000000001
31.158378000000027,-4.032074000000001|31.16837800000003,-4.022074000000001
31.158378000000027,-4.022074000000001|31.16837800000003,-4.012074000000001
31.158378000000027,-4.012074000000001|31.16837800000003,-4.002074000000001
31.158378000000027,-4.002074000000001|31.16837800000003,-3.9920740000000015
31.158378000000027,-3.9920740000000015|31.16837800000003,-3.9820740000000017
31.158378000000027,-3.9820740000000017|31.16837800000003,-3.972074000000002
31.158378000000027,-3.972074000000002|31.16837800000003,-3.962074000000002
31.158378000000027,-3.962074000000002|31.16837800000003,-3.9520740000000023
31.158378000000027,-3.9520740000000023|31.16837800000003,-3.9420740000000025
31.158378000000027,-3.9420740000000025|31.16837800000003,-3.9320740000000027
31.16837800000003,-4.042074|31.17837800000003,-4.032074000000001
31.16837800000003,-4.032074000000001|31.17837800000003,-4.022074000000001
31.16837800000003,-4.022074000000001|31.17837800000003,-4.012074000000001
31.16837800000003,-4.012074000000001|31.17837800000003,-4.002074000000001
31.16837800000003,-4.002074000000001|31.17837800000003,-3.9920740000000015
31.16837800000003,-3.9920740000000015|31.17837800000003,-3.9820740000000017
31.16837800000003,-3.9820740000000017|31.17837800000003,-3.972074000000002
31.16837800000003,-3.972074000000002|31.17837800000003,-3.962074000000002
31.16837800000003,-3.962074000000002|31.17837800000003,-3.9520740000000023
31.16837800000003,-3.9520740000000023|31.17837800000003,-3.9420740000000025
31.16837800000003,-3.9420740000000025|31.17837800000003,-3.9320740000000027
31.17837800000003,-4.042074|31.188378000000032,-4.032074000000001
31.17837800000003,-4.032074000000001|31.188378000000032,-4.022074000000001
31.17837800000003,-4.022074000000001|31.188378000000032,-4.012074000000001
31.17837800000003,-4.012074000000001|31.188378000000032,-4.002074000000001
31.17837800000003,-4.002074000000001|31.188378000000032,-3.9920740000000015
31.17837800000003,-3.9920740000000015|31.188378000000032,-3.9820740000000017
31.17837800000003,-3.9820740000000017|31.188378000000032,-3.972074000000002
31.17837800000003,-3.972074000000002|31.188378000000032,-3.962074000000002
31.17837800000003,-3.962074000000002|31.188378000000032,-3.9520740000000023
31.17837800000003,-3.9520740000000023|31.188378000000032,-3.9420740000000025
31.188378000000032,-4.042074|31.198378000000034,-4.032074000000001
31.188378000000032,-4.032074000000001|31.198378000000034,-4.022074000000001
31.188378000000032,-4.022074000000001|31.198378000000034,-4.012074000000001
31.188378000000032,-4.012074000000001|31.198378000000034,-4.002074000000001
31.188378000000032,-4.002074000000001|31.198378000000034,-3.9920740000000015
31.188378000000032,-3.9920740000000015|31.198378000000034,-3.9820740000000017
31.188378000000032,-3.9820740000000017|31.198378000000034,-3.972074000000002
31.188378000000032,-3.972074000000002|31.198378000000034,-3.962074000000002
31.188378000000032,-3.962074000000002|31.198378000000034,-3.9520740000000023
31.188378000000032,-3.9520740000000023|31.198378000000034,-3.9420740000000025
31.198378000000034,-4.042074|31.208378000000035,-4.032074000000001
31.198378000000034,-4.032074000000001|31.208378000000035,-4.022074000000001
31.198378000000034,-4.022074000000001|31.208378000000035,-4.012074000000001
31.198378000000034,-4.012074000000001|31.208378000000035,-4.002074000000001
31.198378000000034,-4.002074000000001|31.208378000000035,-3.9920740000000015
31.198378000000034,-3.9920740000000015|31.208378000000035,-3.9820740000000017
31.198378000000034,-3.9820740000000017|31.208378000000035,-3.972074000000002
31.198378000000034,-3.972074000000002|31.208378000000035,-3.962074000000002
31.198378000000034,-3.962074000000002|31.208378000000035,-3.9520740000000023
31.208378000000035,-4.032074000000001|31.218378000000037,-4.022074000000001
31.208378000000035,-4.022074000000001|31.218378000000037,-4.012074000000001
31.208378000000035,-4.012074000000001|31.218378000000037,-4.002074000000001
31.208378000000035,-4.002074000000001|31.218378000000037,-3.9920740000000015
31.208378000000035,-3.9920740000000015|31.218378000000037,-3.9820740000000017
31.208378000000035,-3.9820740000000017|31.218378000000037,-3.972074000000002
31.208378000000035,-3.972074000000002|31.218378000000037,-3.962074000000002
30.352184,-9.475355|30.361184,-9.466355
30.352184,-9.466355|30.361184,-9.457355
30.352184,-9.457355|30.361184,-9.448355
30.361184,-9.475355|30.370184000000002,-9.466355
30.361184,-9.466355|30.370184000000002,-9.457355
30.361184,-9.457355|30.370184000000002,-9.448355
30.361184,-9.448355|30.370184000000002,-9.439354999999999
34.246511,-6.68197|34.254511,-6.67397
34.254511,-6.68197|34.262511,-6.67397
34.254511,-6.67397|34.262511,-6.66597
34.254511,-6.66597|34.262511,-6.65797
34.262511,-6.66597|34.270511000000006,-6.65797
33.662187,-7.402985|33.672187,-7.392985
33.662187,-7.392985|33.672187,-7.382985000000001
33.662187,-7.382985000000001|33.672187,-7.372985000000001
33.672187,-7.412985|33.682187,-7.402985
33.672187,-7.402985|33.682187,-7.392985
33.672187,-7.392985|33.682187,-7.382985000000001
33.672187,-7.382985000000001|33.682187,-7.372985000000001
33.672187,-7.372985000000001|33.682187,-7.362985000000001
33.682187,-7.412985|33.692187,-7.402985
33.682187,-7.402985|33.692187,-7.392985
33.682187,-7.392985|33.692187,-7.382985000000001
33.682187,-7.382985000000001|33.692187,-7.372985000000001
33.682187,-7.372985000000001|33.692187,-7.362985000000001
33.682187,-7.362985000000001|33.692187,-7.352985000000001
33.692187,-7.402985|33.702186999999995,-7.392985
33.692187,-7.392985|33.702186999999995,-7.382985000000001
33.692187,-7.382985000000001|33.702186999999995,-7.372985000000001
33.692187,-7.372985000000001|33.702186999999995,-7.362985000000001
33.692187,-7.362985000000001|33.702186999999995,-7.352985000000001
33.692187,-7.352985000000001|33.702186999999995,-7.342985000000001
33.702186999999995,-7.402985|33.71218699999999,-7.392985
33.702186999999995,-7.392985|33.71218699999999,-7.382985000000001
33.702186999999995,-7.382985000000001|33.71218699999999,-7.372985000000001
33.702186999999995,-7.372985000000001|33.71218699999999,-7.362985000000001
33.702186999999995,-7.362985000000001|33.71218699999999,-7.352985000000001
33.702186999999995,-7.352985000000001|33.71218699999999,-7.342985000000001
33.71218699999999,-7.402985|33.72218699999999,-7.392985
33.71218699999999,-7.352985000000001|33.72218699999999,-7.342985000000001
33.71218699999999,-7.342985000000001|33.72218699999999,-7.332985000000002
31.553279,-8.089876999999998|31.562279,-8.080876999999997
31.553279,-8.080876999999997|31.562279,-8.071876999999997
31.562279,-8.089876999999998|31.571279,-8.080876999999997
31.562279,-8.080876999999997|31.571279,-8.071876999999997
31.562279,-8.071876999999997|31.571279,-8.062876999999997
31.562279,-8.062876999999997|31.571279,-8.053876999999996
31.571279,-8.080876999999997|31.580279,-8.071876999999997
31.571279,-8.071876999999997|31.580279,-8.062876999999997
31.571279,-8.062876999999997|31.580279,-8.053876999999996
31.571279,-8.053876999999996|31.580279,-8.044876999999996
31.571279,-8.035876999999996|31.580279,-8.026876999999995
31.571279,-8.026876999999995|31.580279,-8.017876999999995
31.571279,-8.017876999999995|31.580279,-8.008876999999995
31.571279,-8.008876999999995|31.580279,-7.999876999999994
31.571279,-7.999876999999994|31.580279,-7.990876999999994
31.571279,-7.990876999999994|31.580279,-7.981876999999994
31.571279,-7.981876999999994|31.580279,-7.972876999999993
31.580279,-8.071876999999997|31.589279,-8.062876999999997
31.580279,-8.062876999999997|31.589279,-8.053876999999996
31.580279,-8.053876999999996|31.589279,-8.044876999999996
31.580279,-8.044876999999996|31.589279,-8.035876999999996
31.580279,-8.035876999999996|31.589279,-8.026876999999995
31.580279,-8.026876999999995|31.589279,-8.017876999999995
31.580279,-8.017876999999995|31.589279,-8.008876999999995
31.580279,-8.008876999999995|31.589279,-7.999876999999994
31.580279,-7.999876999999994|31.589279,-7.990876999999994
31.580279,-7.990876999999994|31.589279,-7.981876999999994
31.580279,-7.981876999999994|31.589279,-7.972876999999993
31.580279,-7.972876999999993|31.589279,-7.963876999999993
31.580279,-7.954876999999993|31.589279,-7.945876999999992
31.580279,-7.945876999999992|31.589279,-7.936876999999992
31.580279,-7.936876999999992|31.589279,-7.927876999999992
31.580279,-7.927876999999992|31.589279,-7.918876999999991
31.589279,-8.071876999999997|31.598279,-8.062876999999997
31.589279,-8.062876999999997|31.598279,-8.053876999999996
31.589279,-8.053876999999996|31.598279,-8.044876999999996
31.589279,-8.044876999999996|31.598279,-8.035876999999996
31.589279,-8.035876999999996|31.598279,-8.026876999999995
31.589279,-8.026876999999995|31.598279,-8.017876999999995
31.589279,-8.017876999999995|31.598279,-8.008876999999995
31.589279,-8.008876999999995|31.598279,-7.999876999999994
31.589279,-7.999876999999994|31.598279,-7.990876999999994
31.589279,-7.990876999999994|31.598279,-7.981876999999994
31.589279,-7.981876999999994|31.598279,-7.972876999999993
31.589279,-7.972876999999993|31.598279,-7.963876999999993
31.589279,-7.963876999999993|31.598279,-7.954876999999993
31.589279,-7.954876999999993|31.598279,-7.945876999999992
31.589279,-7.945876999999992|31.598279,-7.936876999999992
31.589279,-7.936876999999992|31.598279,-7.927876999999992
31.598279,-8.071876999999997|31.607279000000002,-8.062876999999997
31.598279,-8.062876999999997|31.607279000000002,-8.053876999999996
31.598279,-8.053876999999996|31.607279000000002,-8.044876999999996
31.598279,-8.044876999999996|31.607279000000002,-8.035876999999996
31.598279,-8.035876999999996|31.607279000000002,-8.026876999999995
31.598279,-8.026876999999995|31.607279000000002,-8.017876999999995
31.598279,-8.017876999999995|31.607279000000002,-8.008876999999995
31.598279,-8.008876999999995|31.607279000000002,-7.999876999999994
31.598279,-7.999876999999994|31.607279000000002,-7.990876999999994
31.598279,-7.990876999999994|31.607279000000002,-7.981876999999994
31.598279,-7.981876999999994|31.607279000000002,-7.972876999999993
31.598279,-7.972876999999993|31.607279000000002,-7.963876999999993
31.598279,-7.963876999999993|31.607279000000002,-7.954876999999993
31.598279,-7.954876999999993|31.607279000000002,-7.945876999999992
31.598279,-7.945876999999992|31.607279000000002,-7.936876999999992
31.607279000000002,-8.080876999999997|31.616279000000002,-8.071876999999997
31.607279000000002,-8.071876999999997|31.616279000000002,-8.062876999999997
31.607279000000002,-8.062876999999997|31.616279000000002,-8.053876999999996
31.607279000000002,-8.053876999999996|31.616279000000002,-8.044876999999996
31.607279000000002,-8.044876999999996|31.616279000000002,-8.035876999999996
31.607279000000002,-8.035876999999996|31.616279000000002,-8.026876999999995
31.607279000000002,-8.026876999999995|31.616279000000002,-8.017876999999995
31.607279000000002,-8.017876999999995|31.616279000000002,-8.008876999999995
31.607279000000002,-8.008876999999995|31.616279000000002,-7.999876999999994
31.607279000000002,-7.999876999999994|31.616279000000002,-7.990876999999994
31.607279000000002,-7.990876999999994|31.616279000000002,-7.981876999999994
31.607279000000002,-7.981876999999994|31.616279000000002,-7.972876999999993
31.607279000000002,-7.972876999999993|31.616279000000002,-7.963876999999993
31.607279000000002,-7.963876999999993|31.616279000000002,-7.954876999999993
31.607279000000002,-7.954876999999993|31.616279000000002,-7.945876999999992
31.616279000000002,-8.107876999999998|31.625279000000003,-8.098876999999998
31.616279000000002,-8.098876999999998|31.625279000000003,-8.089876999999998
31.616279000000002,-8.089876999999998|31.625279000000003,-8.080876999999997
31.616279000000002,-8.080876999999997|31.625279000000003,-8.071876999999997
31.616279000000002,-8.071876999999997|31.625279000000003,-8.062876999999997
31.616279000000002,-8.062876999999997|31.625279000000003,-8.053876999999996
31.616279000000002,-8.053876999999996|31.625279000000003,-8.044876999999996
31.616279000000002,-8.044876999999996|31.625279000000003,-8.035876999999996
31.616279000000002,-8.035876999999996|31.625279000000003,-8.026876999999995
31.616279000000002,-8.026876999999995|31.625279000000003,-8.017876999999995
31.616279000000002,-8.017876999999995|31.625279000000003,-8.008876999999995
31.616279000000002,-8.008876999999995|31.625279000000003,-7.999876999999994
31.616279000000002,-7.999876999999994|31.625279000000003,-7.990876999999994
31.616279000000002,-7.990876999999994|31.625279000000003,-7.981876999999994
31.616279000000002,-7.981876999999994|31.625279000000003,-7.972876999999993
31.616279000000002,-7.972876999999993|31.625279000000003,-7.963876999999993
31.616279000000002,-7.963876999999993|31.625279000000003,-7.954876999999993
31.625279000000003,-8.116876999999999|31.634279000000003,-8.107876999999998
31.625279000000003,-8.107876999999998|31.634279000000003,-8.098876999999998
31.625279000000003,-8.098876999999998|31.634279000000003,-8.089876999999998
31.625279000000003,-8.089876999999998|31.634279000000003,-8.080876999999997
31.625279000000003,-8.080876999999997|31.634279000000003,-8.071876999999997
31.625279000000003,-8.071876999999997|31.634279000000003,-8.062876999999997
31.625279000000003,-8.062876999999997|31.634279000000003,-8.053876999999996
31.625279000000003,-8.053876999999996|31.634279000000003,-8.044876999999996
31.625279000000003,-8.044876999999996|31.634279000000003,-8.035876999999996
31.625279000000003,-8.035876999999996|31.634279000000003,-8.026876999999995
31.625279000000003,-8.026876999999995|31.634279000000003,-8.017876999999995
31.625279000000003,-8.017876999999995|31.634279000000003,-8.008876999999995
31.625279000000003,-8.008876999999995|31.634279000000003,-7.999876999999994
31.625279000000003,-7.999876999999994|31.634279000000003,-7.990876999999994
31.625279000000003,-7.990876999999994|31.634279000000003,-7.981876999999994
31.625279000000003,-7.981876999999994|31.634279000000003,-7.972876999999993
31.625279000000003,-7.972876999999993|31.634279000000003,-7.963876999999993
31.634279000000003,-8.125877|31.643279000000003,-8.116876999999999
31.634279000000003,-8.116876999999999|31.643279000000003,-8.107876999999998
31.634279000000003,-8.107876999999998|31.643279000000003,-8.098876999999998
31.634279000000003,-8.098876999999998|31.643279000000003,-8.089876999999998
31.634279000000003,-8.089876999999998|31.643279000000003,-8.080876999999997
31.634279000000003,-8.080876999999997|31.643279000000003,-8.071876999999997
31.634279000000003,-8.071876999999997|31.643279000000003,-8.062876999999997
31.634279000000003,-8.062876999999997|31.643279000000003,-8.053876999999996
31.634279000000003,-8.053876999999996|31.643279000000003,-8.044876999999996
31.634279000000003,-8.044876999999996|31.643279000000003,-8.035876999999996
31.634279000000003,-8.035876999999996|31.643279000000003,-8.026876999999995
31.634279000000003,-8.026876999999995|31.643279000000003,-8.017876999999995
31.634279000000003,-8.017876999999995|31.643279000000003,-8.008876999999995
31.634279000000003,-8.008876999999995|31.643279000000003,-7.999876999999994
31.634279000000003,-7.999876999999994|31.643279000000003,-7.990876999999994
31.634279000000003,-7.990876999999994|31.643279000000003,-7.981876999999994
31.634279000000003,-7.981876999999994|31.643279000000003,-7.972876999999993
31.634279000000003,-7.972876999999993|31.643279000000003,-7.963876999999993
31.643279000000003,-8.125877|31.652279000000004,-8.116876999999999
31.643279000000003,-8.116876999999999|31.652279000000004,-8.107876999999998
31.643279000000003,-8.107876999999998|31.652279000000004,-8.098876999999998
31.643279000000003,-8.098876999999998|31.652279000000004,-8.089876999999998
31.643279000000003,-8.089876999999998|31.652279000000004,-8.080876999999997
31.643279000000003,-8.080876999999997|31.652279000000004,-8.071876999999997
31.643279000000003,-8.071876999999997|31.652279000000004,-8.062876999999997
31.643279000000003,-8.062876999999997|31.652279000000004,-8.053876999999996
31.643279000000003,-8.053876999999996|31.652279000000004,-8.044876999999996
31.643279000000003,-8.044876999999996|31.652279000000004,-8.035876999999996
31.643279000000003,-8.035876999999996|31.652279000000004,-8.026876999999995
31.643279000000003,-8.026876999999995|31.652279000000004,-8.017876999999995
31.643279000000003,-8.017876999999995|31.652279000000004,-8.008876999999995
31.643279000000003,-8.008876999999995|31.652279000000004,-7.999876999999994
31.643279000000003,-7.999876999999994|31.652279000000004,-7.990876999999994
31.643279000000003,-7.990876999999994|31.652279000000004,-7.981876999999994
31.643279000000003,-7.981876999999994|31.652279000000004,-7.972876999999993
31.652279000000004,-8.125877|31.661279000000004,-8.116876999999999
31.652279000000004,-8.116876999999999|31.661279000000004,-8.107876999999998
31.652279000000004,-8.107876999999998|31.661279000000004,-8.098876999999998
31.652279000000004,-8.098876999999998|31.661279000000004,-8.089876999999998
31.652279000000004,-8.089876999999998|31.661279000000004,-8.080876999999997
31.652279000000004,-8.080876999999997|31.661279000000004,-8.071876999999997
31.652279000000004,-8.071876999999997|31.661279000000004,-8.062876999999997
31.652279000000004,-8.062876999999997|31.661279000000004,-8.053876999999996
31.652279000000004,-8.053876999999996|31.661279000000004,-8.044876999999996
31.652279000000004,-8.044876999999996|31.661279000000004,-8.035876999999996
31.652279000000004,-8.035876999999996|31.661279000000004,-8.026876999999995
31.652279000000004,-8.026876999999995|31.661279000000004,-8.017876999999995
31.652279000000004,-8.017876999999995|31.661279000000004,-8.008876999999995
31.652279000000004,-8.008876999999995|31.661279000000004,-7.999876999999994
31.652279000000004,-7.999876999999994|31.661279000000004,-7.990876999999994
31.652279000000004,-7.990876999999994|31.661279000000004,-7.981876999999994
31.652279000000004,-7.981876999999994|31.661279000000004,-7.972876999999993
31.661279000000004,-8.125877|31.670279000000004,-8.116876999999999
31.661279000000004,-8.116876999999999|31.670279000000004,-8.107876999999998
31.661279000000004,-8.107876999999998|31.670279000000004,-8.098876999999998
31.661279000000004,-8.098876999999998|31.670279000000004,-8.089876999999998
31.661279000000004,-8.089876999999998|31.670279000000004,-8.080876999999997
31.661279000000004,-8.080876999999997|31.670279000000004,-8.071876999999997
31.661279000000004,-8.071876999999997|31.670279000000004,-8.062876999999997
31.661279000000004,-8.062876999999997|31.670279000000004,-8.053876999999996
31.661279000000004,-8.053876999999996|31.670279000000004,-8.044876999999996
31.661279000000004,-8.044876999999996|31.670279000000004,-8.035876999999996
31.661279000000004,-8.035876999999996|31.670279000000004,-8.026876999999995
31.661279000000004,-8.026876999999995|31.670279000000004,-8.017876999999995
